,CustomerID,Recency,Frequency,MonetaryValue,Recency_Score,Frequency_Score,Monetary_Score,RFM_Score,RFM_Label
217,12875.0,142,2,343.2300000000001,1,4,2,7,Potential Loyalists
218,12877.0,3,154,1535.77,5,1,1,7,Potential Loyalists
219,12878.0,17,49,841.64,3,1,1,5,At Risk
220,12879.0,44,12,552.57,2,2,1,5,At Risk
221,12881.0,275,7,298.0,1,5,2,8,Loyal Customers
222,12882.0,8,13,1463.04,4,1,1,6,Potential Loyalists
223,12883.0,24,42,703.47,3,1,1,5,At Risk
224,12884.0,87,7,309.05,1,3,1,5,At Risk
225,12885.0,62,72,1158.27,1,2,1,4,Lost Customers
226,12886.0,67,86,1351.09,1,2,1,4,Lost Customers
227,12888.0,213,7,313.77,1,5,2,8,Loyal Customers
228,12890.0,23,82,380.46999999999997,3,1,1,5,At Risk
229,12891.0,185,3,331.0,1,5,2,8,Loyal Customers
230,12893.0,30,34,188.14,3,1,1,5,At Risk
231,12895.0,41,24,347.3,2,1,1,4,Lost Customers
232,12897.0,204,4,216.5,1,5,2,8,Loyal Customers
233,12901.0,8,123,16316.14,4,1,1,6,Potential Loyalists
234,12902.0,264,10,138.68,1,5,2,8,Loyal Customers
235,12904.0,17,72,509.58,3,1,1,5,At Risk
236,12906.0,11,63,2919.81,4,1,1,6,Potential Loyalists
237,12908.0,175,3,360.0,1,5,2,8,Loyal Customers
238,12909.0,39,96,2128.83,2,1,1,4,Lost Customers
239,12910.0,22,75,3075.04,3,1,1,5,At Risk
240,12912.0,2,24,1662.3,5,1,1,7,Potential Loyalists
241,12913.0,4,50,2483.63,5,1,1,7,Potential Loyalists
242,12915.0,148,22,363.65,1,4,2,7,Potential Loyalists
243,12916.0,138,109,2982.35,1,4,2,7,Potential Loyalists
244,12917.0,127,2,594.0,1,4,2,7,Potential Loyalists
245,12919.0,7,52,1301.44,5,1,1,7,Potential Loyalists
246,12920.0,16,28,164.23,3,1,1,5,At Risk
247,12921.0,3,741,16389.74,5,1,1,7,Potential Loyalists
248,12922.0,160,28,405.38,1,5,2,8,Loyal Customers
249,12923.0,63,28,175.72,1,2,1,4,Lost Customers
250,12924.0,87,30,922.0,1,3,1,5,At Risk
251,12925.0,4,45,694.05,5,1,1,7,Potential Loyalists
252,12928.0,34,84,2062.7,2,1,1,4,Lost Customers
253,12929.0,121,9,105.1,1,4,2,7,Potential Loyalists
254,12930.0,77,27,409.90000000000003,1,3,1,5,At Risk
255,12931.0,21,101,33544.81,3,1,1,5,At Risk
256,12933.0,23,107,606.28,3,1,1,5,At Risk
257,12935.0,1,130,2156.45,5,1,1,7,Potential Loyalists
258,12936.0,16,63,1012.9,3,1,1,5,At Risk
259,12937.0,14,120,1504.27,4,1,1,6,Potential Loyalists
260,12938.0,25,9,114.14,3,1,1,5,At Risk
261,12939.0,63,47,11581.8,1,2,1,4,Lost Customers
262,12940.0,45,103,876.29,2,2,1,5,At Risk
263,12942.0,130,75,683.9,1,4,2,7,Potential Loyalists
265,12944.0,35,30,604.51,2,1,1,4,Lost Customers
266,12945.0,287,23,462.95,1,5,2,8,Loyal Customers
267,12947.0,143,103,1407.29,1,4,2,7,Potential Loyalists
268,12948.0,15,118,2053.7,3,1,1,5,At Risk
269,12949.0,30,219,4143.02,3,1,1,5,At Risk
270,12950.0,1,23,1843.0,5,1,1,7,Potential Loyalists
271,12951.0,8,65,1042.07,4,1,1,6,Potential Loyalists
272,12952.0,5,80,1382.84,5,1,1,7,Potential Loyalists
273,12953.0,9,17,329.85,4,1,1,6,Potential Loyalists
274,12955.0,0,183,4734.26,5,1,1,7,Potential Loyalists
275,12956.0,305,19,108.07,1,5,3,9,Best Customers
276,12957.0,3,244,3979.04,5,1,1,7,Potential Loyalists
277,12962.0,6,16,266.39,5,1,1,7,Potential Loyalists
278,12963.0,7,95,1856.63,5,1,1,7,Potential Loyalists
279,12965.0,88,109,771.91,1,3,1,5,At Risk
280,12966.0,9,10,160.18,4,1,1,6,Potential Loyalists
281,12967.0,2,33,1194.75,5,1,1,7,Potential Loyalists
282,12968.0,111,5,135.95,1,4,2,7,Potential Loyalists
283,12970.0,6,151,452.24,5,1,1,7,Potential Loyalists
284,12971.0,3,307,10933.76,5,1,1,7,Potential Loyalists
285,12974.0,197,8,144.8,1,5,2,8,Loyal Customers
286,12976.0,211,22,738.6,1,5,2,8,Loyal Customers
287,12977.0,155,9,39.239999999999995,1,5,2,8,Loyal Customers
288,12980.0,155,24,7092.06,1,5,2,8,Loyal Customers
289,12981.0,29,20,372.21999999999997,3,1,1,5,At Risk
290,12982.0,239,34,377.2,1,5,2,8,Loyal Customers
291,12984.0,18,4,97.5,3,1,1,5,At Risk
292,12985.0,0,78,1215.6200000000001,5,1,1,7,Potential Loyalists
293,12987.0,73,30,545.0,1,2,1,4,Lost Customers
294,12988.0,291,92,535.32,1,5,2,8,Loyal Customers
295,12989.0,2,68,6854.51,5,1,1,7,Potential Loyalists
296,12990.0,30,13,409.5,3,1,1,5,At Risk
297,12991.0,22,31,503.76,3,1,1,5,At Risk
298,12993.0,22,27,414.76,3,1,1,5,At Risk
299,12994.0,3,73,902.22,5,1,1,7,Potential Loyalists
300,12995.0,77,5,200.72,1,3,1,5,At Risk
301,12997.0,21,67,1197.94,3,1,1,5,At Risk
302,12999.0,195,28,455.88,1,5,2,8,Loyal Customers
303,13000.0,106,31,534.85,1,4,2,7,Potential Loyalists
304,13001.0,3,342,9797.92,5,1,1,7,Potential Loyalists
305,13002.0,317,7,120.94999999999999,1,5,3,9,Best Customers
306,13003.0,105,6,149.05,1,4,2,7,Potential Loyalists
307,13004.0,11,409,5613.43,4,1,1,6,Potential Loyalists
308,13005.0,173,29,468.95,1,5,2,8,Loyal Customers
309,13006.0,55,4,81.57,1,2,1,4,Lost Customers
310,13008.0,322,15,178.46999999999997,1,5,3,9,Best Customers
311,13011.0,371,3,50.550000000000004,1,5,3,9,Best Customers
312,13012.0,8,106,1316.72,4,1,1,6,Potential Loyalists
313,13013.0,0,222,4786.99,5,1,1,7,Potential Loyalists
314,13014.0,2,124,3365.43,5,1,1,7,Potential Loyalists
315,13015.0,52,176,3346.28,1,2,1,4,Lost Customers
316,13016.0,72,47,789.89,1,2,1,4,Lost Customers
317,13017.0,6,1,204.0,5,1,1,7,Potential Loyalists
318,13018.0,15,459,7272.75,3,1,1,5,At Risk
319,13021.0,3,134,2584.4,5,1,1,7,Potential Loyalists
320,13023.0,63,38,599.9,1,2,1,4,Lost Customers
321,13026.0,0,42,943.77,5,1,1,7,Potential Loyalists
322,13027.0,113,26,6912.0,1,4,2,7,Potential Loyalists
323,13028.0,22,47,659.68,3,1,1,5,At Risk
324,13029.0,30,10,1247.5,3,1,1,5,At Risk
325,13030.0,10,99,799.48,4,1,1,6,Potential Loyalists
326,13032.0,38,75,996.52,2,1,1,4,Lost Customers
327,13033.0,356,11,190.55,1,5,3,9,Best Customers
328,13034.0,54,37,642.77,1,2,1,4,Lost Customers
329,13035.0,57,30,886.63,1,2,1,4,Lost Customers
330,13037.0,137,48,881.07,1,4,2,7,Potential Loyalists
331,13038.0,79,28,908.46,1,3,1,5,At Risk
332,13040.0,8,43,676.99,4,1,1,6,Potential Loyalists
333,13043.0,253,14,471.57,1,5,2,8,Loyal Customers
334,13044.0,290,33,560.47,1,5,2,8,Loyal Customers
335,13045.0,98,18,305.28,1,3,1,5,At Risk
336,13046.0,30,35,629.31,3,1,1,5,At Risk
337,13047.0,45,194,3089.1,2,2,1,5,At Risk
338,13048.0,13,137,1805.91,4,1,1,6,Potential Loyalists
339,13049.0,63,14,656.6800000000001,1,2,1,4,Lost Customers
340,13050.0,8,421,5680.86,4,1,1,6,Potential Loyalists
341,13052.0,211,18,348.15000000000003,1,5,2,8,Loyal Customers
342,13055.0,63,78,1201.96,1,2,1,4,Lost Customers
343,13058.0,24,8,271.40000000000003,3,1,1,5,At Risk
344,13059.0,249,8,183.4,1,5,2,8,Loyal Customers
345,13060.0,253,15,307.53000000000003,1,5,2,8,Loyal Customers
346,13061.0,71,10,248.61,1,2,1,4,Lost Customers
347,13062.0,190,11,346.98,1,5,2,8,Loyal Customers
348,13064.0,12,69,1119.49,4,1,1,6,Potential Loyalists
349,13065.0,372,14,205.86,1,5,3,9,Best Customers
350,13066.0,23,49,430.9,3,1,1,5,At Risk
351,13067.0,81,15,115.46000000000001,1,3,1,5,At Risk
352,13068.0,9,2,344.0,4,1,1,6,Potential Loyalists
353,13069.0,0,470,3717.82,5,1,1,7,Potential Loyalists
354,13070.0,191,9,228.8,1,5,2,8,Loyal Customers
355,13072.0,266,7,177.15,1,5,2,8,Loyal Customers
356,13075.0,129,22,919.61,1,4,2,7,Potential Loyalists
357,13077.0,0,112,729.27,5,1,1,7,Potential Loyalists
358,13078.0,0,380,12432.28,5,1,1,7,Potential Loyalists
359,13079.0,3,6,220.10000000000002,5,1,1,7,Potential Loyalists
360,13080.0,178,6,58.08,1,5,2,8,Loyal Customers
361,13081.0,0,1060,27972.08,5,1,1,7,Potential Loyalists
362,13082.0,125,75,3595.48,1,4,2,7,Potential Loyalists
363,13083.0,3,18,303.75,5,1,1,7,Potential Loyalists
364,13085.0,157,29,272.38,1,5,2,8,Loyal Customers
365,13089.0,2,1857,57385.88,5,1,1,7,Potential Loyalists
366,13090.0,8,160,8674.39,4,1,1,6,Potential Loyalists
367,13091.0,20,24,319.82,3,1,1,5,At Risk
368,13092.0,70,26,459.83,1,2,1,4,Lost Customers
369,13093.0,266,170,7741.47,1,5,2,8,Loyal Customers
370,13094.0,20,30,1708.8600000000001,3,1,1,5,At Risk
371,13095.0,70,6,74.39999999999999,1,2,1,4,Lost Customers
372,13097.0,32,436,5908.27,2,1,1,4,Lost Customers
373,13098.0,0,605,28658.88,5,1,1,7,Potential Loyalists
374,13099.0,98,1,207.36,1,3,1,5,At Risk
375,13101.0,233,8,101.19,1,5,2,8,Loyal Customers
376,13102.0,0,310,6336.29,5,1,1,7,Potential Loyalists
377,13103.0,39,8,243.94,2,1,1,4,Lost Customers
378,13104.0,2,20,1098.48,5,1,1,7,Potential Loyalists
379,13106.0,128,2,59.5,1,4,2,7,Potential Loyalists
380,13107.0,43,60,1524.07,2,2,1,5,At Risk
381,13108.0,372,10,350.06,1,5,3,9,Best Customers
382,13109.0,2,50,766.84,5,1,1,7,Potential Loyalists
383,13110.0,30,146,1452.8700000000001,3,1,1,5,At Risk
384,13113.0,0,279,10523.65,5,1,1,7,Potential Loyalists
385,13115.0,8,132,2205.63,4,1,1,6,Potential Loyalists
386,13116.0,116,31,485.19,1,4,2,7,Potential Loyalists
387,13117.0,21,76,984.91,3,1,1,5,At Risk
388,13118.0,19,82,1125.0,3,1,1,5,At Risk
389,13120.0,238,1,30.6,1,5,2,8,Loyal Customers
390,13121.0,268,53,254.73,1,5,2,8,Loyal Customers
391,13122.0,93,55,922.39,1,3,1,5,At Risk
392,13124.0,89,235,3866.33,1,3,1,5,At Risk
393,13126.0,4,142,2056.29,5,1,1,7,Potential Loyalists
394,13127.0,77,15,259.17,1,3,1,5,At Risk
395,13130.0,93,2,64.0,1,3,1,5,At Risk
396,13131.0,22,46,1039.3,3,1,1,5,At Risk
397,13132.0,261,3,77.3,1,5,2,8,Loyal Customers
398,13133.0,273,7,109.8,1,5,2,8,Loyal Customers
399,13134.0,72,105,1740.63,1,2,1,4,Lost Customers
400,13135.0,196,1,3096.0,1,5,2,8,Loyal Customers
401,13136.0,49,139,2545.38,1,2,1,4,Lost Customers
402,13137.0,10,704,3650.41,4,1,1,6,Potential Loyalists
403,13138.0,21,63,962.39,3,1,1,5,At Risk
404,13139.0,15,174,5055.79,3,1,1,5,At Risk
405,13140.0,107,46,423.72,1,4,2,7,Potential Loyalists
406,13141.0,84,136,2385.8,1,3,1,5,At Risk
407,13142.0,18,23,307.09000000000003,3,1,1,5,At Risk
408,13144.0,332,3,110.95,1,5,3,9,Best Customers
409,13145.0,39,7,614.77,2,1,1,4,Lost Customers
410,13146.0,25,17,228.91,3,1,1,5,At Risk
411,13147.0,9,4,712.8,4,1,1,6,Potential Loyalists
412,13148.0,28,347,3348.48,3,1,1,5,At Risk
413,13149.0,13,86,1676.06,4,1,1,6,Potential Loyalists
414,13151.0,202,75,1250.3700000000001,1,5,2,8,Loyal Customers
415,13153.0,5,15,486.22,5,1,1,7,Potential Loyalists
416,13155.0,32,85,971.76,2,1,1,4,Lost Customers
417,13157.0,48,89,1721.57,1,2,1,4,Lost Customers
418,13158.0,94,79,1201.06,1,3,1,5,At Risk
419,13159.0,8,122,1379.75,4,1,1,6,Potential Loyalists
420,13160.0,21,4,91.8,3,1,1,5,At Risk
421,13161.0,312,8,112.75,1,5,3,9,Best Customers
422,13162.0,121,82,1644.99,1,4,2,7,Potential Loyalists
423,13165.0,45,42,1021.48,2,2,1,5,At Risk
424,13166.0,281,42,414.7,1,5,2,8,Loyal Customers
425,13167.0,18,64,779.33,3,1,1,5,At Risk
426,13168.0,35,133,1310.14,2,1,1,4,Lost Customers
427,13169.0,63,13,712.88,1,2,1,4,Lost Customers
428,13170.0,26,32,116.00999999999999,3,1,1,5,At Risk
429,13171.0,7,48,426.81,5,1,1,7,Potential Loyalists
430,13173.0,3,43,353.65000000000003,5,1,1,7,Potential Loyalists
431,13174.0,15,313,2813.03,3,1,1,5,At Risk
432,13176.0,45,72,492.84,2,2,1,5,At Risk
433,13177.0,64,17,282.45,1,2,1,4,Lost Customers
434,13178.0,25,265,5725.47,3,1,1,5,At Risk
435,13182.0,44,11,121.18,2,2,1,5,At Risk
436,13183.0,7,94,3957.78,5,1,1,7,Potential Loyalists
437,13184.0,14,182,1647.79,4,1,1,6,Potential Loyalists
438,13185.0,267,1,71.4,1,5,2,8,Loyal Customers
439,13186.0,39,84,1539.69,2,1,1,4,Lost Customers
440,13187.0,336,37,236.02,1,5,3,9,Best Customers
441,13188.0,10,2,114.6,4,1,1,6,Potential Loyalists
442,13189.0,18,29,260.68,3,1,1,5,At Risk
443,13192.0,94,63,911.94,1,3,1,5,At Risk
444,13193.0,60,29,117.88,1,2,1,4,Lost Customers
445,13194.0,135,3,60.7,1,4,2,7,Potential Loyalists
446,13196.0,10,110,1797.78,4,1,1,6,Potential Loyalists
447,13198.0,9,229,3384.09,4,1,1,6,Potential Loyalists
448,13199.0,3,119,9788.96,5,1,1,7,Potential Loyalists
