,Description,UnitPrice,TotalReturned,Total$Returned,Unit_Sold,Total_Revenue,Net_Revenue,Return_Rate
32,3 TIER CAKE TIN GREEN AND CREAM,14.95,12,179.39999999999998,165.0,2466.75,2287.35,7.2727272727272725
33,3 TIER CAKE TIN RED AND CREAM,12.75,14,178.5,51.0,650.25,471.75,27.450980392156865
34,3 TIER CAKE TIN RED AND CREAM,14.95,18,269.09999999999997,158.0,2362.1,2093.0,11.39240506329114
35,3 TIER SWEETHEART GARDEN SHELF,35.95,1,35.95,39.0,1402.0500000000002,1366.1000000000001,2.564102564102564
36,3 TRADITIONAl BISCUIT CUTTERS  SET,2.1,2,4.2,896.0,1881.6000000000001,1877.4,0.2232142857142857
37,36 DOILIES VINTAGE CHRISTMAS,1.45,36,52.199999999999996,2261.0,3278.45,3226.25,1.592215833701902
38,36 FOIL HEART CAKE CASES,2.1,6,12.6,526.0,1104.6,1092.0,1.1406844106463878
39,36 PENCILS TUBE RED RETROSPOT,1.25,92,115.0,1793.0,2241.25,2126.25,5.131065253764641
40,36 PENCILS TUBE WOODLAND,1.25,43,53.75,813.0,1016.25,962.5,5.289052890528905
41,3D CHRISTMAS STAMPS STICKERS,1.25,14,17.5,863.0,1078.75,1061.25,1.6222479721900347
42,3D SHEET OF CAT STICKERS,0.85,4,3.4,191.0,162.35,158.95,2.094240837696335
43,4 TRADITIONAL SPINNING TOPS,1.45,2,2.9,1690.0,2450.5,2447.6,0.1183431952662722
44,5 HOOK HANGER RED MAGIC TOADSTOOL,1.65,7,11.55,342.0,564.3,552.75,2.046783625730994
45,5 STRAND GLASS NECKLACE CRYSTAL,6.35,2,12.7,17.0,107.94999999999999,95.24999999999999,11.76470588235294
46,50'S CHRISTMAS GIFT BAG LARGE,1.25,2,2.5,1297.0,1621.25,1618.75,0.15420200462606012
47,50'S CHRISTMAS PAPER GIFT BAG,0.82,1,0.82,1047.0,858.54,857.7199999999999,0.09551098376313276
48,6 EGG HOUSE PAINTED WOOD,7.95,4,31.8,210.0,1669.5,1637.7,1.9047619047619049
49,6 GIFT TAGS 50'S CHRISTMAS,0.83,36,29.88,2741.0,2275.03,2245.15,1.3133892739875956
50,6 RIBBONS ELEGANT CHRISTMAS,1.65,12,19.799999999999997,468.0,772.1999999999999,752.4,2.564102564102564
51,6 RIBBONS RUSTIC CHARM,1.65,13,21.449999999999996,4040.0,6665.999999999999,6644.549999999999,0.3217821782178218
52,6 RIBBONS SHIMMERING PINKS,1.65,12,19.799999999999997,199.0,328.34999999999997,308.54999999999995,6.030150753768844
53,6 ROCKET BALLOONS,0.65,68,44.2,1598.0,1038.7,994.5,4.25531914893617
54,60 CAKE CASES DOLLY GIRL DESIGN,0.55,96,52.8,3359.0,1847.4499999999998,1794.6499999999999,2.857993450431676
55,60 CAKE CASES VINTAGE CHRISTMAS,0.55,72,39.599999999999994,8219.0,4520.45,4480.849999999999,0.8760189804112423
56,60 TEATIME FAIRY CAKE CASES,0.55,126,69.3,7618.0,4189.9,4120.599999999999,1.6539774218955108
57,72 SWEETHEART FAIRY CAKE CASES,0.42,72,30.24,1680.0,705.6,675.36,4.285714285714286
58,72 SWEETHEART FAIRY CAKE CASES,0.55,58,31.9,4949.0,2721.95,2690.0499999999997,1.1719539300868862
59,ABC TREASURE BOOK BOX,2.25,41,92.25,676.0,1521.0,1428.75,6.06508875739645
60,ADVENT CALENDAR GINGHAM SACK,4.95,48,237.6,201.0,994.95,757.35,23.88059701492537
61,ADVENT CALENDAR GINGHAM SACK,5.95,8,47.6,414.0,2463.3,2415.7000000000003,1.932367149758454
62,AFGHAN SLIPPER SOCK PAIR,3.45,2,6.9,311.0,1072.95,1066.05,0.6430868167202572
63,AGED GLASS SILVER T-LIGHT HOLDER,0.65,21,13.65,5189.0,3372.85,3359.2,0.40470225476970517
64,AIRLINE BAG VINTAGE JET SET RED,4.25,4,17.0,253.0,1075.25,1058.25,1.5810276679841897
65,AIRLINE BAG VINTAGE TOKYO 78,3.75,2,7.5,62.0,232.5,225.0,3.225806451612903
66,AIRLINE BAG VINTAGE TOKYO 78,3.95,2,7.9,203.0,801.85,793.95,0.9852216748768473
67,AIRLINE BAG VINTAGE TOKYO 78,4.25,9,38.25,429.0,1823.25,1785.0,2.097902097902098
68,AIRLINE BAG VINTAGE WORLD CHAMPION,4.25,1,4.25,139.0,590.75,586.5,0.7194244604316548
69,ALARM CLOCK BAKELIKE CHOCOLATE,3.75,49,183.75,1167.0,4376.25,4192.5,4.1988003427592115
70,ALARM CLOCK BAKELIKE GREEN,3.75,31,116.25,3762.0,14107.5,13991.25,0.8240297713981924
71,ALARM CLOCK BAKELIKE IVORY,3.75,43,161.25,1662.0,6232.5,6071.25,2.5872442839951866
72,ALARM CLOCK BAKELIKE ORANGE,3.39,1,3.39,550.0,1864.5,1861.11,0.18181818181818182
73,ALARM CLOCK BAKELIKE ORANGE,3.75,30,112.5,1355.0,5081.25,4968.75,2.214022140221402
74,ALARM CLOCK BAKELIKE PINK,3.75,37,138.75,1892.0,7095.0,6956.25,1.9556025369978858
75,ALARM CLOCK BAKELIKE RED,3.75,73,273.75,3585.0,13443.75,13170.0,2.03626220362622
76,ALPHABET STENCIL CRAFT,1.06,432,457.92,1812.0,1920.72,1462.8,23.841059602649008
77,ANGEL DECORATION 3 BUTTONS,0.42,7,2.94,3004.0,1261.68,1258.74,0.2330226364846871
78,ANGEL DECORATION STARS ON DRESS,0.42,22,9.24,2027.0,851.34,842.1,1.0853478046373952
79,ANT SILVER LIME GREEN BOUDICCA RING,2.95,1,2.95,21.0,61.95,59.0,4.761904761904762
80,ANT WHITE WIRE HEART SPIRAL,3.95,1,3.95,177.0,699.15,695.1999999999999,0.5649717514124294
81,ANTIQUE ALL GLASS CANDLESTICK,2.1,3,6.300000000000001,409.0,858.9,852.6,0.7334963325183375
82,ANTIQUE GLASS DRESSING TABLE POT,2.95,42,123.9,1155.0,3407.2500000000005,3283.3500000000004,3.6363636363636362
83,ANTIQUE GLASS HEART DECORATION,1.95,2,3.9,296.0,577.1999999999999,573.3,0.6756756756756757
84,ANTIQUE GLASS PEDESTAL BOWL,3.39,1,3.39,348.0,1179.72,1176.33,0.28735632183908044
85,ANTIQUE GLASS PEDESTAL BOWL,3.75,18,67.5,498.0,1867.5,1800.0,3.614457831325301
86,ANTIQUE HEART SHELF UNIT,14.55,8,116.4,34.0,494.70000000000005,378.30000000000007,23.52941176470588
87,ANTIQUE HEART SHELF UNIT,16.65,4,66.6,74.0,1232.1,1165.5,5.405405405405405
88,ANTIQUE IVORY WIRE BOWL SMALL,2.49,5,12.45,91.0,226.59,214.14000000000001,5.4945054945054945
90,ANTIQUE SILVER BAUBLE LAMP,8.25,3,24.75,186.0,1534.5,1509.75,1.6129032258064515
91,ANTIQUE SILVER BAUBLE LAMP,10.4,4,41.6,172.0,1788.8000000000002,1747.2000000000003,2.3255813953488373
92,ANTIQUE SILVER T-LIGHT GLASS,1.06,241,255.46,6060.0,6423.6,6168.14,3.9768976897689767
93,ANTIQUE SILVER T-LIGHT GLASS,1.25,74,92.5,6604.0,8255.0,8162.5,1.1205330102967896
94,ANTIQUE SILVER TEA GLASS ENGRAVED,1.06,9,9.54,5356.0,5677.360000000001,5667.820000000001,0.16803584764749813
95,ANTIQUE SILVER TEA GLASS ENGRAVED,1.25,23,28.75,2868.0,3585.0,3556.25,0.8019525801952581
96,ANTIQUE SILVER TEA GLASS ETCHED,1.25,19,23.75,1676.0,2095.0,2071.25,1.133651551312649
97,ANTIQUE TALL SWIRLGLASS TRINKET POT,3.75,5,18.75,587.0,2201.25,2182.5,0.8517887563884157
98,APOTHECARY MEASURING JAR,12.5,1,12.5,25.0,312.5,300.0,4.0
99,AREA PATROLLED METAL SIGN,2.1,19,39.9,2381.0,5000.1,4960.200000000001,0.7979840403191937
100,ASS FLORAL PRINT MULTI SCREWDRIVER,0.42,24,10.08,2263.0,950.46,940.38,1.0605391073795847
101,ASSORTED BOTTLE TOP  MAGNETS,0.42,54,22.68,1260.0,529.2,506.52000000000004,4.285714285714286
102,ASSORTED CIRCULAR MOBILE,0.21,2,0.42,165.0,34.65,34.23,1.2121212121212122
103,ASSORTED COLOUR BIRD ORNAMENT,1.69,48,81.12,20591.0,34798.79,34717.67,0.23311155359137486
104,ASSORTED COLOUR MINI CASES,7.95,7,55.65,546.0,4340.7,4285.05,1.282051282051282
105,ASSORTED COLOUR T-LIGHT HOLDER,0.55,4,2.2,2016.0,1108.8,1106.6,0.1984126984126984
106,ASSORTED COLOUR T-LIGHT HOLDER,0.65,6,3.9,1189.0,772.85,768.95,0.5046257359125316
107,ASSORTED COLOURS SILK FAN,0.65,600,390.0,4200.0,2730.0,2340.0,14.285714285714285
108,ASSORTED COLOURS SILK FAN,0.75,48,36.0,1316.0,987.0,951.0,3.64741641337386
109,ASSORTED COLOURS SILK FAN,0.83,96,79.68,5632.0,4674.56,4594.88,1.7045454545454544
110,ASSORTED CREEPY CRAWLIES,0.42,48,20.16,2570.0,1079.4,1059.24,1.867704280155642
111,ASSORTED EASTER DECORATIONS  BELLS,1.25,21,26.25,210.0,262.5,236.25,10.0
112,ASSORTED MONKEY SUCTION CUP HOOK,0.42,1,0.42,315.0,132.3,131.88000000000002,0.31746031746031744
113,ASSORTED TUTTI FRUTTI BRACELET,0.19,24,4.5600000000000005,2002.0,380.38,375.82,1.1988011988011988
114,ASSORTED TUTTI FRUTTI HEART BOX,1.25,25,31.25,215.0,268.75,237.5,11.627906976744185
115,ASSORTED TUTTI FRUTTI LARGE PURSE,2.1,1,2.1,117.0,245.70000000000002,243.60000000000002,0.8547008547008548
116,ASSORTED TUTTI FRUTTI PEN,0.29,96,27.84,2219.0,643.5099999999999,615.6699999999998,4.326273095989184
117,ASSORTED TUTTI FRUTTI PEN,0.85,22,18.7,161.0,136.85,118.14999999999999,13.664596273291925
119,ASSORTED TUTTI FRUTTI SMALL PURSE,1.25,1,1.25,390.0,487.5,486.25,0.2564102564102564
120,ASSTD DESIGN 3D PAPER STICKERS,0.85,60,51.0,168.0,142.8,91.80000000000001,35.714285714285715
121,ASSTD DESIGN RACING CAR PEN,1.27,180,228.6,464.0,589.28,360.67999999999995,38.793103448275865
122,ASSTD DESIGN RACING CAR PEN,1.69,5,8.45,624.0,1054.56,1046.11,0.8012820512820512
123,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,0.19,1,0.19,1530.0,290.7,290.51,0.065359477124183
124,ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,0.55,18,9.9,306.0,168.29999999999998,158.39999999999998,5.88235294117647
125,ASSTD MULTICOLOUR CIRCLES MUG,0.39,4,1.56,1225.0,477.75,476.19,0.326530612244898
126,BABUSHKA LIGHTS STRING OF 10,5.95,1,5.95,86.0,511.70000000000005,505.75000000000006,1.1627906976744187
127,BABUSHKA LIGHTS STRING OF 10,6.75,2,13.5,272.0,1836.0,1822.5,0.7352941176470588
128,BAG 125g SWIRLY MARBLES,0.42,86,36.12,5406.0,2270.52,2234.4,1.5908250092489826
129,BAG 250g SWIRLY MARBLES,0.72,3,2.16,3168.0,2280.96,2278.8,0.0946969696969697
130,BAG 250g SWIRLY MARBLES,0.85,2,1.7,1469.0,1248.6499999999999,1246.9499999999998,0.13614703880190604
131,BAG 500g SWIRLY MARBLES,1.45,7,10.15,48.0,69.6,59.449999999999996,14.583333333333334
132,BAG 500g SWIRLY MARBLES,1.65,13,21.449999999999996,470.0,775.4999999999999,754.0499999999998,2.7659574468085104
133,BAKING MOULD CHOCOLATE CUPCAKES,2.55,6,15.3,645.0,1644.75,1629.45,0.9302325581395349
134,BAKING MOULD EASTER EGG MILK CHOC,2.1,144,302.40000000000003,288.0,604.8000000000001,302.40000000000003,50.0
135,BAKING MOULD EASTER EGG MILK CHOC,2.95,12,35.400000000000006,373.0,1100.3500000000001,1064.95,3.2171581769436997
136,BAKING MOULD EASTER EGG WHITE CHOC,2.95,3,8.850000000000001,211.0,622.45,613.6,1.4218009478672986
137,BAKING MOULD HEART MILK CHOCOLATE,2.1,96,201.6,330.0,693.0,491.4,29.09090909090909
138,BAKING MOULD TOFFEE CUP CHOCOLATE,2.1,96,201.6,270.0,567.0,365.4,35.55555555555556
139,BAKING MOULD TOFFEE CUP CHOCOLATE,2.55,24,61.2,212.0,540.6,479.40000000000003,11.320754716981133
141,BAKING SET 9 PIECE RETROSPOT,4.95,50,247.50000000000003,2274.0,11256.300000000001,11008.800000000001,2.198768689533861
142,BAKING SET SPACEBOY DESIGN,4.25,2,8.5,645.0,2741.25,2732.75,0.31007751937984496
143,BAKING SET SPACEBOY DESIGN,4.95,24,118.8,1113.0,5509.35,5390.55,2.15633423180593
144,BALLOON PUMP WITH 10 BALLOONS,1.95,18,35.1,482.0,939.9,904.8,3.7344398340248963
145,BALLOON WATER BOMB PACK OF 35,0.42,10,4.2,1807.0,758.94,754.74,0.5534034311012728
146,BANQUET BIRTHDAY  CARD,0.42,12,5.04,1236.0,519.12,514.08,0.9708737864077669
147,BASKET OF FLOWERS SEWING KIT,0.85,1,0.85,364.0,309.4,308.54999999999995,0.27472527472527475
148,BASKET OF TOADSTOOLS,1.06,408,432.48,408.0,432.48,0.0,100.0
149,BATH BUILDING BLOCK WORD,5.95,2,11.9,495.0,2945.25,2933.35,0.40404040404040403
150,BATHROOM METAL SIGN,0.42,250,105.0,1322.0,555.24,450.24,18.910741301059
151,BATHROOM METAL SIGN,0.55,40,22.0,2772.0,1524.6000000000001,1502.6000000000001,1.443001443001443
152,BEACH HUT DESIGN BLACKBOARD,4.25,13,55.25,22.0,93.5,38.25,59.09090909090909
153,BEACH HUT KEY CABINET,3.75,1,3.75,21.0,78.75,75.0,4.761904761904762
154,BEACH HUT SHELF W 3 DRAWERS,5.95,4,23.8,22.0,130.9,107.10000000000001,18.181818181818183
155,BEADED CHANDELIER T-LIGHT HOLDER,1.0,192,192.0,240.0,240.0,48.0,80.0
156,BEADED CHANDELIER T-LIGHT HOLDER,1.5,96,144.0,192.0,288.0,144.0,50.0
157,BEADED CHANDELIER T-LIGHT HOLDER,4.95,1,4.95,79.0,391.05,386.1,1.2658227848101267
158,BEADED PEARL HEART WHITE ON STICK,0.42,6,2.52,144.0,60.48,57.959999999999994,4.166666666666666
159,BEADED PEARL HEART WHITE ON STICK,1.25,7,8.75,253.0,316.25,307.5,2.766798418972332
160,BELLE JARDINIERE CUSHION COVER,3.75,4,15.0,586.0,2197.5,2182.5,0.6825938566552902
161,BEST DAD CANDLE LETTERS,0.85,1,0.85,25.0,21.25,20.4,4.0
162,BEWARE OF THE CAT METAL SIGN,1.69,12,20.28,2128.0,3596.32,3576.04,0.5639097744360901
163,BIG DOUGHNUT FRIDGE MAGNETS,0.85,36,30.6,510.0,433.5,402.9,7.0588235294117645
164,BINGO SET,3.75,7,26.25,859.0,3221.25,3195.0,0.8149010477299184
165,BIRD HOUSE HOT WATER BOTTLE,2.55,2,5.1,469.0,1195.95,1190.8500000000001,0.42643923240938164
166,BIRDCAGE DECORATION TEALIGHT HOLDER,1.25,6,7.5,344.0,430.0,422.5,1.744186046511628
167,BIRDHOUSE DECORATION MAGIC GARDEN,1.25,16,20.0,496.0,620.0,600.0,3.225806451612903
168,BIRDS MOBILE VINTAGE DESIGN,5.95,7,41.650000000000006,88.0,523.6,481.95000000000005,7.954545454545454
169,BISCUIT TIN 50'S CHRISTMAS,2.49,36,89.64000000000001,468.0,1165.3200000000002,1075.68,7.6923076923076925
170,BISCUIT TIN 50'S CHRISTMAS,2.89,5,14.45,1118.0,3231.02,3216.57,0.4472271914132379
171,BISCUIT TIN VINTAGE CHRISTMAS,2.89,16,46.24,1085.0,3135.65,3089.4100000000003,1.4746543778801844
172,BISCUIT TIN VINTAGE GREEN,6.75,9,60.75,169.0,1140.75,1080.0,5.325443786982249
173,BISCUIT TIN VINTAGE RED,5.95,1,5.95,122.0,725.9000000000001,719.95,0.819672131147541
174,BISCUIT TIN VINTAGE RED,6.75,15,101.25,212.0,1431.0,1329.75,7.0754716981132075
175,BLACK AND WHITE DOG BOWL,0.85,16,13.6,480.0,408.0,394.4,3.3333333333333335
176,BLACK AND WHITE DOG BOWL,2.95,6,17.700000000000003,71.0,209.45000000000002,191.75,8.450704225352112
177,BLACK BAROQUE WALL CLOCK,12.75,1,12.75,9.0,114.75,102.0,11.11111111111111
178,BLACK BIRD GARDEN DESIGN MUG,0.39,2,0.78,99.0,38.61,37.83,2.0202020202020203
179,BLACK CANDELABRA T-LIGHT HOLDER,2.1,30,63.00000000000001,75.0,157.5,94.5,40.0
180,BLACK CHAMPAGNE GLASS,0.39,9,3.51,1493.0,582.27,578.76,0.6028131279303416
181,BLACK CHAMPAGNE GLASS,1.65,1,1.65,24.0,39.599999999999994,37.949999999999996,4.166666666666666
182,BLACK CHERRY LIGHTS,6.75,8,54.0,8.0,54.0,0.0,100.0
183,BLACK DIAMANTE EXPANDABLE RING,4.25,6,25.5,15.0,63.75,38.25,40.0
184,BLACK DINER WALL CLOCK,8.5,2,17.0,47.0,399.5,382.5,4.25531914893617
185,BLACK ENAMEL FLOWER RING,2.95,1,2.95,28.0,82.60000000000001,79.65,3.571428571428571
186,BLACK HEART CARD HOLDER,3.95,1,3.95,467.0,1844.65,1840.7,0.21413276231263384
187,BLACK KITCHEN SCALES,8.5,6,51.0,252.0,2142.0,2091.0,2.380952380952381
188,BLACK LOVE BIRD T-LIGHT HOLDER,3.75,3,11.25,18.0,67.5,56.25,16.666666666666664
189,BLACK MEDIUM GLASS CAKE STAND,0.79,1,0.79,11.0,8.690000000000001,7.900000000000001,9.090909090909092
191,BLACK PIRATE TREASURE CHEST,1.65,13,21.449999999999996,267.0,440.54999999999995,419.09999999999997,4.868913857677903
192,BLACK RECORD COVER FRAME,3.39,3,10.17,10108.0,34266.12,34255.950000000004,0.0296794618124258
193,BLACK RECORD COVER FRAME,3.75,12,45.0,943.0,3536.25,3491.25,1.2725344644750796
194,BLACK SMALL GLASS CAKE STAND,0.39,1,0.39,41.0,15.99,15.6,2.4390243902439024
195,BLACK SWEETHEART BRACELET,4.25,1,4.25,67.0,284.75,280.5,1.4925373134328357
196,"BLACK TEA,COFFEE,SUGAR JARS",1.95,39,76.05,243.0,473.84999999999997,397.79999999999995,16.049382716049383
197,"BLACK TEA,COFFEE,SUGAR JARS",6.35,1,6.35,4.0,25.4,19.049999999999997,25.0
198,BLACK VINTAGE  CRYSTAL EARRINGS,3.75,1,3.75,11.0,41.25,37.5,9.090909090909092
199,BLACK WINE GLASS,1.65,3,4.949999999999999,38.0,62.69999999999999,57.749999999999986,7.894736842105263
200,BLACK/BLUE POLKADOT UMBRELLA,5.95,6,35.7,515.0,3064.25,3028.55,1.1650485436893203
201,BLUE  DIAMANTE PEN IN GIFT BOX,4.25,36,153.0,36.0,153.0,0.0,100.0
202,BLUE  TILE HOOK,2.55,9,22.95,57.0,145.35,122.39999999999999,15.789473684210526
203,BLUE  VOILE LAMPSHADE,2.55,48,122.4,48.0,122.4,0.0,100.0
204,BLUE CHARLIE+LOLA PERSONAL DOORSIGN,2.95,152,448.4,22.0,64.9,-383.5,690.9090909090909
205,BLUE CHECK BAG W HANDLE 34X20CM,0.83,1,0.83,17.0,14.11,13.28,5.88235294117647
206,BLUE CHENILLE SHAGGY CUSHION COVER,0.85,13,11.05,37.0,31.45,20.4,35.13513513513514
207,BLUE CIRCLES DESIGN MONKEY DOLL,2.55,7,17.85,63.0,160.65,142.8,11.11111111111111
208,BLUE COAT RACK PARIS FASHION,4.95,4,19.8,227.0,1123.65,1103.8500000000001,1.762114537444934
209,BLUE DINER WALL CLOCK,8.5,9,76.5,600.0,5100.0,5023.5,1.5
210,BLUE DRAGONFLY HELICOPTER,7.95,1,7.95,45.0,357.75,349.8,2.2222222222222223
211,BLUE DRAWER KNOB ACRYLIC EDWARDIAN,1.25,13,16.25,1214.0,1517.5,1501.25,1.070840197693575
212,BLUE EASTER EGG HUNT START POST,1.95,2,3.9,9.0,17.55,13.65,22.22222222222222
213,BLUE FLOCK GLASS CANDLEHOLDER,0.38,6,2.28,632.0,240.16,237.88,0.949367088607595
215,BLUE GIANT GARDEN THERMOMETER,5.95,8,47.6,364.0,2165.8,2118.2000000000003,2.197802197802198
216,BLUE GLASS GEMS IN BAG,0.85,2,1.7,62.0,52.699999999999996,50.99999999999999,3.225806451612903
217,BLUE HAPPY BIRTHDAY BUNTING,4.65,20,93.0,570.0,2650.5,2557.5,3.508771929824561
218,BLUE HAPPY BIRTHDAY BUNTING,5.45,1,5.45,1007.0,5488.150000000001,5482.700000000001,0.09930486593843098
219,BLUE HARMONICA IN BOX,1.25,24,30.0,4707.0,5883.75,5853.75,0.5098789037603569
220,BLUE JUICY FRUIT PHOTO FRAME,2.55,6,15.3,82.0,209.1,193.79999999999998,7.317073170731707
221,BLUE MONTE CARLO HANDBAG,1.95,2,3.9,24.0,46.8,42.9,8.333333333333332
222,BLUE NEW BAROQUE CANDLESTICK CANDLE,0.85,49,41.65,270.0,229.49999999999997,187.84999999999997,18.14814814814815
223,BLUE OWL SOFT TOY,2.95,2,5.9,267.0,787.6500000000001,781.7500000000001,0.7490636704119851
224,BLUE PADDED SOFT MOBILE,4.25,4,17.0,1.0,4.25,-12.75,400.0
225,BLUE PAPER PARASOL,2.95,1,2.95,189.0,557.5500000000001,554.6,0.5291005291005291
226,BLUE PARTY BAGS,2.1,52,109.2,562.0,1180.2,1071.0,9.252669039145907
227,BLUE PATCH PURSE PINK HEART,1.65,14,23.1,77.0,127.05,103.94999999999999,18.181818181818183
228,BLUE POLKADOT BEAKER,0.39,10,3.9,2272.0,886.0799999999999,882.18,0.44014084507042256
229,BLUE POLKADOT BOWL,1.25,12,15.0,1098.0,1372.5,1357.5,1.092896174863388
230,BLUE POLKADOT COFFEE MUG,0.39,97,37.83,1830.0,713.6999999999999,675.8699999999999,5.300546448087432
231,BLUE POLKADOT CUP,0.72,2,1.44,1120.0,806.4000000000001,804.96,0.17857142857142858
232,BLUE POLKADOT CUP,0.85,34,28.9,1070.0,909.5,880.6,3.177570093457944
233,BLUE POLKADOT GARDEN PARASOL,6.75,2,13.5,60.0,405.0,391.5,3.3333333333333335
234,BLUE POLKADOT GARDEN PARASOL,7.95,3,23.85,63.0,500.85,477.0,4.761904761904762
235,BLUE POLKADOT PLATE,1.69,13,21.97,711.0,1201.59,1179.62,1.8284106891701828
236,BLUE POLKADOT WASHING UP GLOVES,2.1,2,4.2,269.0,564.9,560.6999999999999,0.7434944237918215
237,BLUE POLKADOT WRAP,0.36,200,72.0,400.0,144.0,72.0,50.0
238,BLUE POT PLANT CANDLE,2.95,14,41.300000000000004,183.0,539.8500000000001,498.5500000000001,7.650273224043716
239,BLUE ROSE FABRIC MIRROR,1.06,120,127.2,132.0,139.92000000000002,12.720000000000013,90.9090909090909
240,BLUE ROSE PATCH PURSE PINK BUTTERFL,1.65,15,24.75,32.0,52.8,28.049999999999997,46.875
241,BLUE SCOTTIE DOG W FLOWER PATTERN,2.55,3,7.65,104.0,265.2,257.55,2.8846153846153846
242,BLUE SPOT CERAMIC DRAWER KNOB,1.25,19,23.75,2309.0,2886.25,2862.5,0.822867042009528
243,BLUE SPOT CERAMIC DRAWER KNOB,1.45,50,72.5,615.0,891.7499999999999,819.2499999999999,8.130081300813007
244,BLUE STRIPE CERAMIC DRAWER KNOB,1.06,1,1.06,720.0,763.2,762.1400000000001,0.1388888888888889
245,BLUE STRIPE CERAMIC DRAWER KNOB,1.25,2,2.5,2464.0,3080.0,3077.5,0.08116883116883117
246,BLUE STRIPE CERAMIC DRAWER KNOB,1.45,63,91.35,911.0,1320.9499999999998,1229.6,6.915477497255764
247,BLUE TILED TRAY,6.75,5,33.75,8.0,54.0,20.25,62.5
248,BLUE VINTAGE SPOT BEAKER,0.85,49,41.65,912.0,775.1999999999999,733.55,5.37280701754386
